tempo,beat_count,rms_mean,rms_std,spectral_flux_mean,spectral_flux_std,mfcc_0_mean,mfcc_0_std,mfcc_0_delta,mfcc_1_mean,mfcc_1_std,mfcc_1_delta,mfcc_2_mean,mfcc_2_std,mfcc_2_delta,mfcc_3_mean,mfcc_3_std,mfcc_3_delta,mfcc_4_mean,mfcc_4_std,mfcc_4_delta,mfcc_5_mean,mfcc_5_std,mfcc_5_delta,mfcc_6_mean,mfcc_6_std,mfcc_6_delta,mfcc_7_mean,mfcc_7_std,mfcc_7_delta,mfcc_8_mean,mfcc_8_std,mfcc_8_delta,mfcc_9_mean,mfcc_9_std,mfcc_9_delta,mfcc_10_mean,mfcc_10_std,mfcc_10_delta,mfcc_11_mean,mfcc_11_std,mfcc_11_delta,mfcc_12_mean,mfcc_12_std,mfcc_12_delta,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,track_id
161.4990234375,79,0.21856576,0.091034055,1.2890037,1.301786,11.791181,84.038284,0.35309812,31.553902,35.869343,-0.023095433,-17.229237,16.864176,0.0068366034,1.425004,17.131342,0.013002295,-10.999611,12.872311,-0.011739771,2.5840201,11.255633,0.005512022,-5.9782996,11.946215,-0.005116092,5.551493,7.7421227,0.0074225115,-6.795831,12.109017,-0.00086119224,4.509368,7.7077136,-0.0022927674,-4.153529,12.543807,0.011378307,0.38703707,9.738353,0.01719426,-2.4855998,6.8367577,-0.0020392453,0.5255417,0.49977392,0.57886386,0.55922794,0.69261384,0.7523744,0.6653246,0.6243499,0.55940294,0.5594657,0.63351077,0.49068382,3vqRYeWGfQli1HlRKgsrSA
99.38401442307692,43,0.28689775,0.07546305,2.0010645,2.6598492,-50.560608,89.40527,0.4000382,33.816364,26.588396,0.011281455,8.582838,30.973658,0.024031162,35.651608,15.603748,0.03391396,19.82925,14.310899,0.02091138,32.6402,13.81972,0.026149584,14.562149,8.774352,0.010935405,14.541982,11.980512,0.012080868,7.70797,9.624251,0.0041811634,7.9076047,8.837615,0.007976495,0.6765999,6.4104834,0.001980697,5.4503365,6.9757934,0.0045050234,1.8431045,7.760306,0.003968129,0.7165166,0.7403448,0.77845806,0.9300758,0.8764693,0.59306407,0.5221386,0.7360557,0.8447708,0.7727082,0.80918455,0.96170235,0g1UEsa2bqif2D0hlmxUfI
161.4990234375,52,0.31458652,0.13865367,1.6205803,2.566855,-49.048244,117.06443,0.4248491,55.534782,30.738144,0.041453842,-11.836111,57.08145,-0.0077483794,12.515558,29.734089,0.0023542056,4.2239504,19.434452,0.0005605213,12.451244,16.400862,0.003675745,8.282258,13.628775,0.0054383217,7.661961,14.688773,0.0067337793,2.2899432,13.507598,0.007379326,-0.11763818,12.791362,0.001620716,2.016498,9.426041,-0.00083118974,5.7612624,7.1954675,0.0026135878,7.011989,7.123314,-0.0027658453,0.49956897,0.48044547,0.5559122,0.48970702,0.7434775,0.6276975,0.47695884,0.6644611,0.8420688,0.7706892,0.49274287,0.46863058,7dLFPSD8NW1duFyR8bUEfe
161.4990234375,65,0.47479606,0.114797086,3.0203328,4.377313,-34.314037,106.59893,0.3772514,97.13856,28.168415,0.060298577,21.249268,23.464325,0.022530025,28.149315,13.460202,0.027360748,15.711497,9.542818,0.009383467,20.181725,7.5109644,0.019521324,6.0252604,4.627073,0.0005225869,14.047668,4.907494,0.009588825,2.8559465,4.9684567,0.0017911574,10.370991,4.709981,0.0069671017,2.9693885,4.318056,-0.0007806228,5.890332,4.6155286,0.0012139757,0.20217508,4.1110077,-0.0015661789,0.68661284,0.63540864,0.67068243,0.642455,0.8132054,0.9278895,0.8820524,0.860364,0.56037104,0.6370417,0.57609385,0.5891097,3LgA6sFAEZ30TqeTWmGDlV
151.99908088235293,71,0.3405244,0.19000417,1.8182831,2.2956955,1.6106751,103.65883,0.52107567,59.50068,27.143997,0.045955513,-5.8254433,24.234312,0.00015667717,9.907727,14.103085,0.02354832,4.9319367,15.31319,0.013985528,8.661042,16.494081,0.022025518,-0.08281734,11.745517,0.011182069,4.5918775,10.850954,0.01863911,-3.5102675,10.048501,0.0027719622,1.580921,9.092029,0.004334244,-5.2765107,11.337124,-0.0001162656,-0.42534003,9.56486,-0.0006882015,-8.193946,9.231016,0.0015795282,0.66392034,0.5781046,0.7852896,0.4917201,0.67610073,0.5009118,0.44157073,0.47645763,0.5512947,0.5954974,0.6763267,0.74122,5UIaQPueRUkruyTHlMpJ1k
161.4990234375,81,0.38737717,0.027904458,2.0677412,2.698201,-39.785,53.477985,0.047754407,51.401436,27.840614,-0.05068986,33.867634,19.979816,0.060290787,29.358553,14.141681,0.025766544,20.471283,9.997036,0.010451148,28.840153,9.853271,0.023162086,11.500312,10.086504,0.026722811,16.126024,6.660971,0.018520514,6.581118,6.034302,0.004136598,12.454902,5.351253,0.006449675,3.2386954,4.406891,0.0030209585,8.955353,4.4390697,0.008557135,2.519221,4.6652536,0.01045914,0.6135865,0.6902019,0.5374253,0.7480151,0.9472697,0.8746863,0.6539531,0.8937964,0.9445182,0.688397,0.46800193,0.46161228,3GzkcXSKpe34kAjkFCxo1z
161.4990234375,79,0.44205374,0.2005508,2.3043046,3.2283056,-57.631027,88.658516,0.1172004,64.837524,57.398186,0.051679675,8.072872,33.578754,0.10238522,42.464443,20.099066,0.050604757,6.1543183,17.008083,0.011579234,6.861513,19.865973,0.027066821,12.565467,11.943024,0.020619744,9.453765,13.481296,0.029084109,0.4917408,11.232699,-0.00452773,6.705329,9.9199915,0.011881428,0.055149894,10.716702,0.035156142,9.848589,9.352732,-0.0037671821,1.5562605,9.502504,0.009658074,0.6990393,0.8688827,0.6743829,0.63484305,0.66930634,0.7031887,0.6630415,0.80916405,0.6705761,0.52487963,0.47479045,0.46753553,1us1kcmAd3FUPJuMtEA57G
143.5546875,72,0.32210955,0.08206594,1.5730278,1.8723191,-56.239902,53.634975,-0.03455267,105.17551,34.946503,0.022827603,14.568937,22.256878,0.023193656,32.09529,10.31307,-0.002229131,15.046873,8.033227,0.02035932,23.499815,9.01921,0.00843369,6.617837,6.372006,-0.0008976084,10.706747,5.826161,0.0077103823,0.93696976,6.524272,-0.0013513705,6.600976,5.5356226,0.003918122,4.5183554,3.976907,-0.0017679885,8.176696,5.145947,0.005356738,2.899095,5.4032755,0.01313318,0.28670278,0.40355098,0.6386587,0.4920575,0.36608168,0.3351759,0.40989873,0.9738707,0.82207733,0.5159287,0.44789237,0.32222706,04GyfkxwKrbaa9qrZTu3Pa
123.046875,57,0.14923826,0.078165725,1.2564496,0.8702869,-75.98902,72.558914,0.17947862,99.163284,34.448727,0.16101873,-28.579256,31.139435,0.013956947,7.522895,16.298876,0.025148002,-2.4820917,12.773029,0.01614458,6.81251,14.733205,0.021632781,-6.4056044,11.951062,0.01999258,2.0289955,13.30315,0.016254159,-3.9630797,9.622677,0.014578925,-1.9071704,7.536741,0.005641879,-7.3869514,9.278657,-0.007883949,-5.9255757,7.6817827,-0.0036361588,-4.5234284,7.0536923,0.0056796665,0.5511963,0.573456,0.60972023,0.6547925,0.5170182,0.5717745,0.672711,0.643271,0.7990913,0.7021203,0.64364076,0.68126893,3IGStl3M5BrxGyD01kZJ7Q
151.99908088235293,70,0.416892,0.044599127,1.7536236,2.333022,-67.09047,46.642128,0.100239865,60.020523,19.022785,0.0072650304,39.46701,17.791784,0.05574358,34.524937,9.401129,0.0032953492,23.745192,8.624534,0.02291854,21.226828,9.255207,0.025784088,7.236832,6.228351,0.013462196,15.399275,5.173938,0.010425893,9.027118,7.3418818,0.02032989,12.616675,7.3038726,0.020943634,3.7996573,4.843017,0.0039484673,7.884065,4.9278097,0.008068065,0.6113272,7.574748,0.021113997,0.72051716,0.7017386,0.6656942,0.6887051,0.6885145,0.8480334,0.98962903,0.98145646,0.92459637,0.6330251,0.92373353,0.7555063,2pmk8xGNKwmKrmQBK9Vwgf
